# Z A M_true(MeV) n Delta M_pred(MeV) err(%)
69 182 182.753554 2 1.478091 182.715758 0.020682
70 183 272.393094 2 2.201623 272.155876 0.087087
70 184 367.942033 5 0.046508 367.943376 0.000365
70 185 465.211442 2 3.764252 465.321744 0.023710
71 186 556.521151 2 4.503349 556.685968 0.029615
71 187 642.906052 2 5.200321 642.842932 0.009818
71 188 740.004997 3 1.496684 740.056317 0.006935
72 189 829.824316 3 1.678429 829.922843 0.011873
72 190 925.323885 4 0.467891 925.421136 0.010510
73 191 85.259655 1 2.759608 85.282936 0.027306
73 192 181.828580 2 1.471126 181.854651 0.014338
73 193 277.268535 2 2.243175 277.292367 0.008595
73 194 364.782405 2 2.951827 364.893005 0.030319
74 195 463.637217 3 0.937379 463.500413 0.029507
74 196 558.786545 2 4.531453 560.160050 0.245801
74 197 646.490441 4 0.327157 647.069590 0.089584
75 198 737.519771 3 1.490306 736.902648 0.083675
75 199 832.929917 2 6.742164 833.439299 0.061155
76 200 922.259270 3 1.864704 922.029209 0.024945
76 201 87.624719 2 0.708651 87.600638 0.027481
76 202 183.083303 2 1.481332 183.116337 0.018043
76 203 272.177919 2 2.201623 272.155876 0.008099
77 204 372.342412 2 3.012633 372.409631 0.018053
77 205 460.146909 2 3.722631 460.176737 0.006482
78 206 549.656040 2 4.446111 549.610471 0.008290
78 207 647.906312 2 5.239740 647.715722 0.029416
78 208 744.695070 3 1.506283 744.802904 0.014480
79 209 836.114695 2 6.762813 835.991941 0.014682
79 210 2.679909 -1 1.387818 2.680571 0.024708
80 211 92.759114 1 2.999556 92.698280 0.065583
80 212 189.318724 2 1.531214 189.282546 0.019110
80 213 287.648173 2 2.326369 287.576396 0.024953
80 214 375.053059 1 12.132800 374.952056 0.026930
80 215 473.541794 4 0.239390 473.479915 0.013067
80 216 561.187005 2 4.537737 560.936906 0.044566
81 217 652.075680 4 0.329741 652.180265 0.016039
81 218 750.275651 2 6.069596 750.299237 0.003144
82 219 840.334364 2 6.796569 840.164625 0.020199
82 220 5.500473 -2 11.391350 5.500598 0.002282
83 221 98.719745 1 3.193067 98.678543 0.041737
83 222 187.303903 2 1.516816 187.502737 0.106156
83 223 283.743350 2 2.299176 284.214923 0.166197
83 224 381.722557 2 3.088237 381.755535 0.008639
84 225 472.382084 3 0.955616 472.517692 0.028707
84 226 559.185225 2 4.531453 560.160050 0.174330
84 227 657.066625 2 5.315226 657.046985 0.002989
85 228 749.815493 3 1.516816 750.010950 0.026067
85 229 845.974560 3 1.711359 846.205575 0.027308
86 230 4.909905 0 0.635865 4.912696 0.056846
86 231 102.439201 2 0.828654 102.434894 0.004204
87 232 195.111890 3 0.394594 195.112293 0.000207
87 233 281.793577 3 0.569869 281.779860 0.004868
88 234 372.953565 3 0.754251 372.949981 0.000961
88 235 470.302057 2 3.806107 470.495672 0.041168
89 236 563.542754 3 1.140234 563.804875 0.046513
89 237 659.491304 2 5.336232 659.643600 0.023093
90 238 751.145666 2 6.076000 751.090852 0.007297
90 239 838.954821 3 1.696225 838.722068 0.027743
91 240 1.120587 -3 9.283669 1.120713 0.011205
91 241 97.000207 1 3.136419 96.927898 0.074545
92 242 189.029030 1 6.115067 188.980021 0.025927
92 243 286.038552 1 9.249539 285.847744 0.066707
93 244 379.948061 2 3.072721 379.837526 0.029092
93 245 466.392577 2 3.769773 466.004290 0.083253
94 246 559.086646 2 4.531453 560.160050 0.191992
94 247 656.051296 2 5.306467 655.964214 0.013274
95 248 750.553236 2 6.069596 750.299237 0.033842
95 249 846.243762 3 1.711359 846.205575 0.004513
96 250 7.785000 -1 4.029782 7.783524 0.018961
96 251 95.277863 1 3.083293 95.286096 0.008641
96 252 190.835197 3 0.386389 191.055384 0.115381
97 253 285.856910 1 9.249539 285.847744 0.003207
97 254 373.156537 3 0.754462 373.054201 0.027424
98 255 466.721394 3 0.944113 466.829780 0.023223
98 256 562.102664 4 0.284183 562.073449 0.005197
99 257 657.615275 2 5.315226 657.046985 0.086417
99 258 754.063106 3 1.525790 754.448100 0.051056
100 259 848.214804 5 0.107293 848.843398 0.074108
100 260 11.931508 1 0.386389 11.940962 0.079232
101 261 107.893099 1 3.491352 107.896745 0.003379
101 262 204.131344 2 1.651887 204.199658 0.033466
