# Z A M_true(MeV) n_oct Delta M_pred(MeV) err(%)
110 283 263770.660551 7 2.083561 263743.007584 0.010484
110 284 264703.784768 7 2.091591 264759.440124 0.021026
111 285 265639.548840 7 2.098027 265574.078314 0.024646
111 286 266573.823452 6 8.423384 266563.847615 0.003742
112 287 267508.177241 7 2.113023 267472.281211 0.013419
112 288 268441.231596 7 2.122286 268644.874881 0.075861
113 289 269377.345909 8 0.531932 269333.605733 0.016238
113 290 270311.604686 7 2.135882 270365.889476 0.020082
114 291 271246.283567 7 2.143066 271275.285892 0.010692
115 292 272182.877600 7 2.150422 272206.395687 0.008641
116 293 273118.339867 8 0.539424 273127.099364 0.003207
117 294 274055.662328 9 0.135302 274030.321705 0.009247
118 295 274992.128746 7 2.171881 274922.703370 0.025246
