Z,k,Symbole,E_exp_eV,E_pred_eV,m,Delta,Err_percent,Lambda_e,Eps_0,Eps_1,Eps_2,Eps_3,Eps_4,Eps_5,Eps_6,Eps_7,Eps_8,Eps_9,Eps_10,Eps_11,Eps_12,Eps_13,Eps_14,,,Factor_4_Zk
10,1,Ne,40.96297,40.9631616191,0,6.884564978,0.0004677861492969153,5.95,0,0,1,0,0,0,0,0,0,-1,-1,0,0,1,1,,,262144.0
10,2,Ne,63.4233,63.422388702400035,2,0.6662015620000004,0.0014368498642656235,5.95,0,1,0,0,-1,0,0,0,0,0,0,0,1,1,-1,,,65536.0
10,3,Ne,97.19,97.18901386180003,1,4.083572011000001,0.0010146498610584815,5.95,1,0,1,0,0,0,0,-1,0,-1,1,0,0,1,0,,,16384.0
10,4,Ne,126.247,126.2473812684,1,5.304511818,0.0003020019485653495,5.95,0,0,0,1,0,1,-1,1,0,1,0,0,0,0,0,,,4096.0
10,5,Ne,157.934,157.93431694600002,1,6.635895670000001,0.00020068256361930868,5.95,0,1,0,0,0,-1,0,-1,1,0,1,0,0,1,0,,,1024.0
10,6,Ne,207.271,207.26997880820002,1,8.708822639000001,0.0004926843600716318,5.95,0,1,0,1,0,1,0,-1,0,0,1,0,1,0,0,,,256.0
10,7,Ne,239.097,239.09555053300002,1,10.046031535000001,0.0006062255067969363,5.95,0,0,0,0,1,0,0,1,0,1,1,-1,1,0,0,,,64.0
10,8,Ne,1195.8082,1195.8027145568,3,3.140238221,0.0004587226613648593,5.95,0,0,1,0,1,1,-1,0,-1,0,1,0,0,0,0,,,16.0
10,9,Ne,1362.199256,1362.1978688136,2,14.308801143,0.00010183432371894403,5.95,1,0,1,0,0,-1,0,0,0,0,1,0,0,1,1,,,4.0
11,0,Na,5.13907696,5.139076097575001,-1,3.4548410740000004,1.6781710133619467e-05,5.95,0,1,0,0,0,1,-1,0,0,0,1,0,0,0,0,,,4194304.0
11,1,Na,47.28636,47.286760607800005,1,1.986838681,0.0008471952588509076,5.95,1,1,-1,1,0,0,0,0,0,-1,0,1,0,0,0,,,1048576.0
11,2,Na,71.62,71.6210840786,1,3.009289247,0.0015136534487597087,5.95,1,0,0,0,0,0,0,0,-1,-1,0,0,-1,1,1,,,262144.0
11,3,Na,98.936,98.9371788874,1,4.157024323,0.0011915656585950675,5.95,0,0,0,0,0,1,-1,1,1,0,0,0,-1,1,0,,,65536.0
11,4,Na,138.404,138.403033062,1,5.81525349,0.0006986344325343215,5.95,1,0,0,-1,1,0,0,-1,0,0,1,1,0,0,0,,,16384.0
11,5,Na,172.23,172.2303522674,1,7.236569423000001,0.00020453312432098703,5.95,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,,,4096.0
11,6,Na,208.504,208.5057089136,1,8.760744072,0.0008196071058579887,5.95,1,1,0,0,0,1,0,0,0,0,0,1,-1,0,1,,,1024.0
11,7,Na,264.192,264.1918411664,2,2.7751243820000004,6.0120518404304266e-05,5.95,1,1,0,0,0,-1,0,0,0,0,1,-1,0,1,0,,,256.0
11,8,Na,299.856,299.8569631708,1,12.599032066,0.0003212111146655497,5.95,0,0,0,0,0,1,-1,0,0,0,-1,1,0,1,1,,,64.0
11,9,Na,1465.0992,1465.0756201984002,3,3.847362448,0.0016094337912346153,5.95,0,1,0,0,1,-1,0,-1,0,1,1,0,0,0,0,,,16.0
11,10,Na,1648.702285,1648.6884154048,3,4.329538906,0.0008412431599225285,5.95,1,-1,0,0,0,0,-1,0,0,1,0,1,0,0,0,,,4.0
