k,D,a,b,err,approx
2,996,1743,-841,3.192534554238764e-09,0.5558698735383806
2,679,-44,298,3.5513383783639973e-09,0.5558698697896648
2,940,869,-245,4.28565480010841e-09,0.5558698693814804
2,261,913,-543,6.1960020004154965e-09,0.555869868319576
2,446,-520,543,6.3003083035134935e-09,0.5558698752658984
2,735,830,-298,6.526422799696111e-09,0.5558698753915886
2,912,432,53,8.369139392808996e-09,0.5558698671115944
2,651,-481,596,9.240397133685302e-09,0.5558698666272884
2,920,-603,788,1.0026103150103492e-08,0.5558698773369555
2,763,1267,-596,1.1010564239477653e-08,0.5558698778841877
2,884,-5,351,1.2711306589132531e-08,0.5558698646979144
2,474,-83,245,1.35318086692932e-08,0.5558698792856716
2,948,-166,490,1.35318086692932e-08,0.5558698792856716
2,976,271,192,1.6836367183238767e-08,0.5558698811225761
2,856,-442,649,1.733754071056905e-08,0.5558698621263303
2,502,354,-53,1.995660770117541e-08,0.5558698828570238
2,699,1428,-735,2.2408996796943797e-08,0.5558698593072606
2,233,476,-245,2.2408996996670944e-08,0.5558698593072605
2,466,952,-490,2.2408996996670944e-08,0.5558698593072605
2,715,-642,735,2.5243987006433513e-08,0.5558698857961186
2,530,791,-351,2.5702560331558736e-08,0.5558698860510257
2,904,1467,-682,2.7089961349008012e-08,0.5558698567052535
2,671,991,-437,2.871539298356314e-08,0.555869855801725
2,743,-205,437,2.9143459784838417e-08,0.5558698879637181
2,558,1228,-649,3.087185815253022e-08,0.5558698889244826
2,438,515,-192,3.207016549820718e-08,0.555869853936908
2,876,1030,-384,3.207016549820718e-08,0.555869853936908
2,771,232,139,3.2759702295140625e-08,0.5558698899738783
2,643,554,-139,3.5571024238769895e-08,0.5558698519908861
2,799,669,-159,3.612249105847521e-08,0.5558698918431513
2,848,593,-86,3.737925094985354e-08,0.5558698509857474
2,827,1106,-457,3.925756990519315e-08,0.5558698935858472
2,855,1543,-755,4.218731007307546e-08,0.5558698952144014
2,205,39,53,4.305090787848785e-08,0.5558698478330442
2,410,78,106,4.305090787848785e-08,0.5558698478330442
2,820,156,212,4.305090787848785e-08,0.5558698478330442
2,615,117,159,4.3050908078215e-08,0.555869847833044
2,997,-242,563,4.7874945373034557e-08,0.5558698451515071
2,241,-559,490,4.827955841540309e-08,0.5558698986008987
2,792,-281,510,4.912359134914846e-08,0.5558698444574224
2,587,-320,457,5.1244375263666556e-08,0.5558698432785425
2,510,-681,682,5.2695856938035326e-08,0.555869901055786
2,969,-679,861,5.297777120397982e-08,0.5558698423149999
2,382,-359,404,5.564139272690477e-08,0.555869840834373
2,269,-122,192,5.6652466459710535e-08,0.5558699032551461
2,538,-244,384,5.6652466459710535e-08,0.5558699032551461
2,807,-366,576,5.6652466459710535e-08,0.5558699032551461
2,840,1628,-821,5.780270787013318e-08,0.555869839632963
2,835,71,278,5.906907803254605e-08,0.5558699045984676
2,566,193,86,6.021760897969918e-08,0.5558699052369014
2,863,508,-20,6.13288758347794e-08,0.5558699058546211
2,297,315,-106,6.344664386940845e-08,0.5558699070318246
2,594,630,-212,6.344664386940845e-08,0.5558699070318246
2,891,945,-318,6.344664386940845e-08,0.5558699070318246
2,812,1191,-523,6.423450054772368e-08,0.5558698360577232
2,989,793,-172,6.530636043819264e-08,0.5558698354619086
2,919,1382,-616,6.543536400140197e-08,0.5558699081372942
2,622,1067,-510,6.638496191871295e-08,0.5558699086651471
2,325,752,-404,6.907013240276307e-08,0.5558699101577524
2,177,-398,351,7.022359301530835e-08,0.5558698327285672
2,961,356,126,7.095955259227443e-08,0.5558698323194694
2,784,754,-225,7.112570700226544e-08,0.5558698322271092
2,607,1152,-576,7.138876183281894e-08,0.5558698320808849
2,933,-81,424,7.695205779758521e-08,0.5558698289884163
2,756,317,73,7.852737309801574e-08,0.555869828112746
2,871,-527,715,8.011881736403838e-08,0.5558699162993835
2,579,715,-278,8.106583460690919e-08,0.5558698267016917
2,899,-90,417,8.163251344488404e-08,0.5558699171408016
2,927,347,119,8.30547674483121e-08,0.5558699179313897
2,905,-518,722,8.331537002897966e-08,0.5558698254512427
2,955,784,-179,8.439362238645055e-08,0.5558699186756189
