N-Z,N,Z,A,El,Orig,MassExcess_keV,Error_keV,BindingPerA_keV,Error_BindingPerA_keV,BetaDecay_keV,Error_BetaDecay_keV,AtomicMass_u,Error_AtomicMass_u
1,a0,ssk,w,,,,AT,MICMAS,SADJU,TMENT,,,
0,,,,,,,,DATE3Mar,2021TIME22,41,,,
0,,**,***,***,**,*******,,A=,0TO295,,,,
1N-Z,,N,Z,A,EL,OMASS,XCESS,BINDINGENE,GY/A,ETA-DECAYENER,Y,ATOMICMASS,
0 11,,9,8,27,O,x44670#,500#,6185#,19#,B-19536#,514#,27047955#,537#
0 12,,0,8,28,O,x52080#,699#,5988#,25#,B-18676#,709#,28055910#,750#
0 11,,0,9,29,F,x40150.1,0525.36,6444.031,18.1160,B-21750.3873,546.2212,29043103.000,564.000
0 12,,1,9,30,F,x48960#,500#,6205#,17#,B-25680#,561#,30052561#,537#
0 13,,2,9,31,F,-nn56843#,535#,6011#,17#,B-25661#,597#,31061023#,574#
0 12,,2,10,32,Ne,x36999#,503#,6671#,16#,B-18359#,504#,32039720#,540#
0 13,,3,10,33,Ne,x46130#,600#,6436#,18#,B-22350#,750#,33049523#,644#
0 14,,4,10,34,Ne,-nn52842#,513#,6287#,15#,B-21161#,789#,34056728#,551#
0 13,,4,11,35,Na,-n37831#,670#,6745#,19#,B-22192#,723#,35040614#,720#
0 14,,5,11,36,Na,-n45903#,687#,6557#,19#,B-25523#,974#,36049279#,737#
0 15,,6,11,37,Na,-nn53134#,687#,6403#,19#,B-24923#,980#,37057042#,737#
0 16,,7,11,38,Na,-n61905#,715#,6216#,19#,B-27831#,875#,38066458#,768#
0 17,,8,11,39,Na,-n69977#,743#,6056#,19#,B-27201#,903#,39075123#,797#
0 16,,8,12,40,Mg,x49550#,500#,6598#,13#,B-20729#,583#,40053194#,537#
0 17,,9,12,41,Mg,x58100#,500#,6425#,12#,B-23510#,640#,41062373#,537#
0 16,,9,13,42,Al,x41990#,500#,6829#,12#,B-25150#,583#,42045078#,537#
0 17,,0,13,43,Al,x48270#,600#,6712#,14#,B-23940#,721#,43051820#,644#
0 16,,0,14,44,Si,x29310#,500#,7156#,11#,B-18200#,640#,44031466#,537#
0 17,,1,14,45,Si,x37090#,600#,7004#,13#,B-21130#,781#,45039818#,644#
0 16,,1,15,46,P,x22840#,500#,7320#,11#,B-22200#,640#,46024520#,537#
0 17,,2,15,47,P,x28810#,600#,7209#,13#,B-21610#,721#,47030929#,644#
0 16,,2,16,48,S,x12390#,500#,7552#,10#,B-16670#,707#,48013301#,537#
0 17,,3,16,49,S,-n20391#,583#,7400#,12#,B-19652#,707#,49021891#,626#
0 16,,3,17,50,Cl,x7700#,400#,7651#,8#,B-20930#,640#,50008266#,429#
0 17,,4,17,51,Cl,x14290#,700#,7530#,14#,B-20780#,806#,51015341#,751#
0 18,,5,17,52,Cl,x22360#,700#,7386#,13#,B-23739#,922#,52024004#,751#
0 17,,5,18,53,Ar,x6791#,699#,7677#,13#,B-19086#,708#,53007290#,750#
0 18,,6,18,54,Ar,x12560#,800#,7578#,15#,B-17710#,894#,54013484#,859#
0 17,,6,19,55,K,x470#,500#,7792#,9#,B-19121#,525#,55000505#,537#
0 18,,7,19,56,K,x7980#,600#,7663#,11#,B-21491#,650#,56008567#,644#
0 19,,8,19,57,K,x14130#,600#,7563#,11#,B-20689#,721#,57015169#,644#
0 20,,9,19,58,K,x21930#,700#,7437#,12#,B-23461#,860#,58023543#,751#
0 21,,0,19,59,K,x28750#,800#,7332#,14#,B-22940#,1000#,59030864#,859#
0 20,,0,20,60,Ca,x11000#,700#,7627#,12#,B-15550#,860#,60011809#,751#
0 21,,1,20,61,Ca,x19010#,800#,7503#,13#,B-18510#,1000#,61020408#,859#
0 20,,1,21,62,Sc,x7310#,600#,7688#,10#,B-19510#,721#,62007848#,644#
0 21,,2,21,63,Sc,x13070#,700#,7603#,11#,B-18930#,860#,63014031#,751#
0 20,,2,22,64,Ti,x-1480#,600#,7826#,9#,B-14840#,721#,63998411#,644#
0 21,,3,22,65,Ti,x5210#,700#,7726#,11#,B-17320#,860#,65005593#,751#
0 20,,3,23,66,V,x-6300#,500#,7894#,8#,B-18840#,583#,65993237#,537#
0 21,,4,23,67,V,x-1744#,600#,7829#,9#,B-17526#,721#,66998128#,644#
