Z,A,El,mass_MeV,estimated
19,52,K,48420.555697343676,False
20,52,Ca,48403.4270484505,False
21,52,Sc,48397.169764762315,False
22,52,Ti,48388.215619348804,False
23,52,V,48386.250287886935,False
24,52,Cr,48382.27381408323,False
25,52,Mn,48386.98193924462,False
26,52,Fe,48389.36122668561,False
27,52,Co,48403.349343212474,False
28,52,Ni,48415.13347017349,False
29,52,Cu,48435.81357074132,True
18,53,Ar,49375.97802026664,True
19,53,K,49356.89170610806,False
20,53,Ca,49339.79972082275,False
21,53,Sc,49330.41787057718,False
22,53,Ti,49322.30599144601,False
23,53,V,49317.33575315914,False
24,53,Cr,49313.899806753194,False
25,53,Mn,49314.497071456724,False
26,53,Fe,49318.23993585448,False
27,53,Co,49326.528044354876,False
28,53,Ni,49339.55660086202,False
29,53,Cu,49356.04777245127,True
18,54,Ar,50313.24179715703,True
19,54,K,50295.53129978772,True
20,54,Ca,50275.52094347953,False
21,54,Sc,50266.24358824237,False
22,54,Ti,50254.93771829836,False
23,54,V,50250.78325460156,False
24,54,Cr,50243.74614268071,False
25,54,Mn,50245.12328219162,False
26,54,Fe,50244.42690651559,False
27,54,Co,50252.67145835175,False
28,54,Ni,50261.403218863255,False
29,54,Cu,50279.44160215662,True
30,54,Zn,50294.97985527909,True
19,55,K,51232.64603762172,True
20,55,Ca,51213.52525818135,False
21,55,Sc,51201.33351871606,False
22,55,Ti,51190.343164454425,False
23,55,V,51183.05049712658,False
24,55,Cr,51177.0653028657,False
25,55,Mn,51174.463090256126,False
26,55,Fe,51174.69420325787,False
27,55,Co,51178.14563109581,False
28,55,Ni,51186.839666096166,False
29,55,Cu,51200.540230393606,False
30,55,Zn,51217.90607494503,True
19,56,K,52171.649845495434,True
20,56,Ca,52150.1593450585,False
21,56,Sc,52138.15388578381,False
22,56,Ti,52124.24673472433,False
23,56,V,52117.48633244154,False
24,56,Cr,52108.38460110244,False
25,56,Mn,52106.75806336057,False
26,56,Fe,52103.06256543792,False
27,56,Co,52107.62921527503,False
28,56,Ni,52109.762085266164,False
29,56,Cu,52125.03999510196,False
30,56,Zn,52138.28000077034,True
31,56,Ga,52159.83011682982,True
19,57,K,53109.293671979605,True
20,57,Ca,53088.60425647076,True
21,57,Sc,53073.78418530126,False
22,57,Ti,53060.76198158389,False
23,57,V,53050.72877477226,False
24,57,Cr,53042.63885095709,False
25,57,Mn,53037.67755501361,False
26,57,Fe,53034.98182039615,False
27,57,Co,53035.818171690946,False
28,57,Ni,53039.0798728101,False
29,57,Cu,53047.85481738818,False
30,57,Zn,53062.613708025034,True
31,57,Ga,53079.75413100367,True
19,58,K,54048.58810601327,True
20,58,Ca,54025.12749554972,True
21,58,Sc,54011.17837136598,False
22,58,Ti,53995.74026317447,False
23,58,V,53986.22735170867,False
24,58,Cr,53974.66613128637,False
25,58,Mn,53970.830368981784,False
26,58,Fe,53964.50266433946,False
27,58,Co,53966.8106459069,False
28,58,Ni,53966.42906866279,False
29,58,Cu,53974.99008630532,False
30,58,Zn,53984.35906330239,False
31,58,Ga,54003.11815289775,True
32,58,Ge,54019.07837284861,True
19,59,K,54986.901676757094,True
20,59,Ca,54963.96177149679,True
21,59,Sc,54947.322492345265,False
22,59,Ti,54932.27234213246,True
23,59,V,54920.541422114584,False
24,59,Cr,54910.03610614702,False
25,59,Mn,54902.6267132932,False
26,59,Fe,54897.487082803804,False
27,59,Co,54895.92220065656,False
28,59,Ni,54896.99520734301,False
29,59,Cu,54901.79358496799,False
30,59,Zn,54910.936357937244,False
31,59,Ga,54924.39190202599,True
32,59,Ge,54941.78196542407,True
20,60,Ca,55900.646159055475,True
21,60,Sc,55885.095796509675,True
22,60,Ti,55867.54644762009,False
23,60,V,55856.5587388017,False
24,60,Cr,55842.7376391674,False
25,60,Mn,55836.678195511624,False
26,60,Fe,55828.23296258604,False
27,60,Co,55827.99570172321,False
28,60,Ni,55825.17289268029,False
29,60,Cu,55831.30087567212,False
30,60,Zn,55835.47166846053,False
31,60,Ga,55850.055782858944,True
32,60,Ge,55862.11583700297,True
33,60,As,55884.005948409846,True
20,61,Ca,56840.15017926219,True
21,61,Sc,56821.640459953,True
22,61,Ti,56804.77017026407,True
23,61,V,56790.96311756084,False
24,61,Cr,56778.64374477363,False
25,61,Mn,56769.39811622559,False
26,61,Fe,56762.219743224116,False
27,61,Co,56758.24206779302,False
28,61,Ni,56756.91820974477,False
29,61,Cu,56759.15618021548,False
30,61,Zn,56764.79133762255,False
31,61,Ga,56774.00558413427,False
32,61,Ge,56787.35029905471,True
33,61,As,56803.940209018816,True
21,62,Sc,57759.944715755795,True
22,62,Ti,57740.434571780606,True
23,62,V,57727.42117999745,False
24,62,Cr,57711.781738670645,False
25,62,Mn,57704.110381730396,False
26,62,Fe,57693.75628451541,False
27,62,Co,57691.20994292209,False
28,62,Ni,57685.88790725757,False
29,62,Cu,57689.846803767556,False
30,62,Zn,57691.466252839324,False
31,62,Ga,57700.64731953113,False
32,62,Ge,57710.49448834062,True
33,62,As,57728.21430065096,True
21,63,Sc,58697.19824621105,True
22,63,Ti,58678.26842306168,True
23,63,V,58662.388311603616,False
24,63,Cr,58647.95015301611,False
25,63,Mn,58637.24138942164,False
26,63,Fe,58628.49281544159,False
27,63,Co,58622.2768994065,False
28,63,Ni,58618.615559372585,False
29,63,Cu,58618.54857563167,False
30,63,Zn,58621.91502326264,False
31,63,Ga,58627.58134846237,False
32,63,Ge,58637.2072315329,False
33,63,As,58650.62819856057,True
34,63,Se,58667.27865564132,True
22,64,Ti,59614.14241075125,True
23,64,V,59599.3027782056,True
24,64,Cr,59581.98257686521,False
25,64,Mn,59572.63350589709,False
26,64,Fe,59560.653001349405,False
27,64,Co,59555.83010679966,False
28,64,Ni,59548.52351363498,False
29,64,Cu,59550.19813510243,False
30,64,Zn,59549.61853152708,False
31,64,Ga,59556.78972270903,False
32,64,Ge,59561.30704993341,False
33,64,As,59576.0899451733,True
34,64,Se,59588.76292243672,True
22,65,Ti,60552.32650381484,True
23,65,V,60535.00630247444,True
24,65,Cr,60518.80668853925,True
25,65,Mn,60506.1493044871,False
26,65,Fe,60495.89875215654,False
27,65,Co,60487.93145022503,False
28,65,Ni,60481.99085590178,False
29,65,Cu,60479.85297447237,False
30,65,Zn,60481.20462830464,False
31,65,Ga,60484.45916623414,False
32,65,Ge,60490.63842797631,False
33,65,As,60500.17960097316,False
34,65,Se,60514.097054357415,True
35,65,Br,60530.62641720486,True
23,66,V,61472.31106510533,True
24,66,Cr,61453.47066538979,True
25,66,Mn,61441.86036454322,False
26,66,Fe,61428.542905140224,False
27,66,Co,61422.2022154701,False
28,66,Ni,61412.60446352147,False
29,66,Cu,61412.352466421944,False
30,66,Zn,61409.71152228759,False
31,66,Ga,61414.88702461486,False
32,66,Ge,61417.00371455344,False
33,66,As,61426.585668362095,False
34,66,Se,61436.950617483366,True
35,66,Br,61455.04116444647,True
23,67,V,62408.361105180265,True
24,67,Cr,62390.835043643245,True
25,67,Mn,62376.52449974776,True
26,67,Fe,62364.39644653425,False
27,67,Co,62354.78307342952,False
28,67,Ni,62346.36217112988,False
29,67,Cu,62342.785308296116,False
30,67,Zn,62342.224483641876,False
31,67,Ga,62343.225700077855,False
32,67,Ge,62347.431135131934,False
33,67,As,62353.51762937644,False
34,67,Se,62363.52456805439,False
35,67,Br,62377.575225095294,True
36,67,Kr,62394.5535681001,True
24,68,Cr,63325.90887789883,True
25,68,Mn,63312.67886716216,True
26,68,Fe,63297.70230498346,True
27,68,Co,63289.95637262538,False
28,68,Ni,63278.13513493932,False
29,68,Cu,63276.03191440547,False
30,68,Zn,63271.59180804217,False
31,68,Ga,63274.51290834276,False
32,68,Ge,63274.620160573715,False
33,68,As,63282.704430219695,False
34,68,Se,63287.409509395366,False
35,68,Br,63302.807824158815,True
36,68,Kr,63315.97263030832,True
24,69,Cr,64263.463280949174,True
25,69,Mn,64247.733140041615,True
26,69,Fe,64233.89393216197,True
27,69,Co,64222.707619486,False
28,69,Ni,64213.11440391365,False
29,69,Cu,64207.35683886659,False
30,69,Zn,64204.67516049512,False
31,69,Ga,64203.76523979612,False
32,69,Ge,64205.992386305355,False
33,69,As,64209.980876382986,False
34,69,Se,64216.658347745826,False
35,69,Br,64226.8335887782,False
36,69,Kr,64240.952794470104,True
24,70,Cr,65198.94697260984,True
25,70,Mn,65184.13714787547,True
26,70,Fe,65167.69720846186,True
27,70,Co,65158.06220606407,False
28,70,Ni,65145.373300251485,False
29,70,Cu,65141.61078132817,False
30,70,Zn,65135.02241669118,False
31,70,Ga,65135.67701485671,False
32,70,Ge,65134.0251311603,False
33,70,As,65140.25319387849,False
34,70,Se,65142.65726837754,False
35,70,Br,65153.1615410717,False
36,70,Kr,65163.48685511892,True
25,71,Mn,66119.46155404462,True
26,71,Fe,66104.15151697725,True
27,71,Co,66091.7113387199,False
28,71,Ni,66080.67503385419,False
29,71,Cu,66073.37013600877,False
